DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 05:17:25,8,2,0,1097.5,31.5,1,67,67,0,0,20,73
2025-02-28 05:17:27,18,29,0,1015.828,73.242,14.5,66.276,961,0,0,6.31,22.31
2025-02-28 05:17:29,27,43,0,1018,68.683,21.5,66.767,1435.5,0,0,1.209,9.023
2025-02-28 05:17:31,37,62,0,1010.806,70.991,31,66.565,2063.5,0,0,0.984,8.339
2025-02-28 05:17:33,48,86,0,1012.593,61.488,43,66.535,2861,0,0,1.093,8.86
2025-02-28 05:17:35,58,102,0,1001.49,69.065,51,66.588,3396,0,0,1,8.696
2025-02-28 05:17:37,67,122,0,1022.115,73.107,61,66.459,4054,0,0,0.992,25.902
2025-02-28 05:17:39,77,145,0,1011.731,66.636,72.5,66.662,4833,0,0,0.814,9.283
2025-02-28 05:17:41,88,121,0,1007.81,63.841,60.5,66.471,4021.5,0,0,0.826,11.174
2025-02-28 05:17:43,98,176,0,1007.119,69.919,88,66.403,5843.5,0,0,0.75,9.778
2025-02-28 05:17:45,109,194,0,1016.077,63.584,97,66.392,6440,0,0,0.722,10.732
2025-02-28 05:17:47,117,222,0,1011.176,66.67,111,66.527,7384.5,0,0,0.712,9.856
2025-02-28 05:17:49,128,235,0,1011.055,65.169,117.5,66.396,7801.5,0,0,0.757,12.651
2025-02-28 05:17:51,139,257,0,1014.245,65.729,128.5,66.37,8528.5,0,0,0.685,11.381
2025-02-28 05:17:53,148,275,0,1007.72,68.749,137.5,66.273,9112.5,0,0,0.691,13.218
2025-02-28 05:17:55,159,300,0,1010.047,63.089,150,66.303,9945.5,0,0,0.747,14.237
2025-02-28 05:17:57,167,315,0,1023.987,62.46,157.5,66.178,10423,0,0,0.721,18.825
2025-02-28 05:17:59,176,334,0,1012.829,71.115,167,66.404,11089.5,0,0,0.665,14.5
2025-02-28 05:18:01,187,353,0,1022.799,63.992,176.5,66.261,11695,0,0,0.671,17.501
2025-02-28 05:18:03,197,362,0,1014.365,68.15,181,66.094,11963,0,0,0.702,18.552
2025-02-28 05:18:05,205,384,0,1056.99,83.727,192,65.695,12613.5,0,0,0.839,53.352
2025-02-28 05:18:07,218,399,0,1025.682,67.684,199.5,65.912,13149.5,0,0,0.674,30.293
2025-02-28 05:18:09,228,434,0,1042.452,71.613,217,65.783,14275,0,0,0.634,36.493
2025-02-28 05:18:11,237,426,0,1044.826,74.758,213,65.561,13964.5,0,0,0.657,48.779
2025-02-28 05:18:13,248,458,0,1051.948,67.261,229,65.483,14995.5,0,0,0.655,49.531
2025-02-28 05:18:15,259,428,0,1112.449,91.207,214,65.133,13938.5,0,0,0.687,112.839
2025-02-28 05:18:17,269,429,0,1216.566,105.335,214.5,64.893,13919.5,0,0,0.779,216.711
2025-02-28 05:18:19,277,442,0,1169.627,111.262,221,65.072,14381,0,0,0.683,165.351
2025-02-28 05:18:21,287,460,0,1295.274,140.154,230,64.817,14908,0,0,0.624,296.2
2025-02-28 05:18:23,298,398,0,1362.746,118.832,199,64.802,12895.5,0,0,0.709,363.339
2025-02-28 05:18:25,308,503,0,1261.229,116.959,251.5,64.944,16333.5,0,0,0.541,260.61
2025-02-28 05:18:27,316,445,0,1269.562,92.769,222.5,64.861,14431.5,0,0,0.501,266.892
2025-02-28 05:18:29,328,518,0,1370.776,109.141,259,64.925,16815.5,0,0,0.556,367.328
2025-02-28 05:18:31,339,484,0,1358.795,82.883,242,64.893,15704,0,0,0.558,353.636
2025-02-28 05:18:33,346,484,0,1378.876,74.875,242,65.008,15732,0,0,0.512,377.872
2025-02-28 05:18:35,360,471,0,1449.822,87.833,235.5,64.847,15271.5,0,0,0.501,451.11
2025-02-28 05:18:37,368,459,0,1528.163,96.304,229.5,64.874,14888.5,0,0,0.514,521.028
2025-02-28 05:18:39,380,460,0,1667.585,73.32,230,64.926,14933,0,0,0.548,662.852
2025-02-28 05:18:41,388,491,0,1552.379,90.235,245.5,64.935,15941.5,0,0,0.491,548.299
2025-02-28 05:18:43,397,426,0,1750.634,122.148,213,64.739,13789.5,0,0,0.577,750.592
2025-02-28 05:18:45,409,495,0,1643.451,86.345,247.5,64.861,16053,0,0,0.491,646.481
2025-02-28 05:18:47,419,443,0,1774.312,106.822,221.5,64.847,14363.5,0,0,0.585,772.661
2025-02-28 05:18:49,430,472,0,1811.153,76.155,236,65.04,15349.5,0,0,0.636,808.621
2025-02-28 05:18:51,436,346,0,1797.896,71.105,173,64.965,11239,0,0,0.48,798.382
2025-02-28 05:18:53,449,616,0,2115.313,179.93,308,64.898,19988.5,0,0,0.648,1112.195
2025-02-28 05:18:55,458,410,0,2060.683,75.721,205,64.827,13289.5,0,0,0.605,1063.68
2025-02-28 05:18:57,468,328,0,2097.235,117.264,164,64.774,10623,0,0,0.579,1091.128
2025-02-28 05:18:59,478,441,0,2261.56,95.4,220.5,64.841,14297.5,0,0,0.592,1258.435
2025-02-28 05:19:01,490,452,0,2051.976,75.534,226,64.989,14687.5,0,0,0.515,1048.867
2025-02-28 05:19:03,499,442,0,2189.579,82.091,221,64.857,14333.5,0,0,0.566,1192.656
2025-02-28 05:19:05,511,429,0,2267.245,85.252,214.5,64.921,13925.5,0,0,0.559,1262.361
2025-02-28 05:19:07,518,453,0,2309.876,79.384,226.5,64.96,14713.5,0,0,0.576,1310.658
2025-02-28 05:19:09,527,417,0,2298.417,124.811,208.5,64.842,13519.5,0,0,0.508,1296.07
2025-02-28 05:19:11,538,466,0,2467.27,87.533,233,64.985,15141.5,0,0,0.702,1471.852
2025-02-28 05:19:13,549,450,0,2236.818,94.262,225,64.94,14611.5,0,0,0.498,1239.887
2025-02-28 05:19:15,560,484,0,2377.583,78.076,242,64.944,15716.5,0,0,0.533,1379.585
2025-02-28 05:19:17,569,447,0,2323.787,84.158,223.5,64.85,14494,0,0,0.452,1325.591
2025-02-28 05:19:19,580,465,0,2490.927,73.074,232.5,64.895,15088,0,0,0.471,1485.471
2025-02-28 05:19:21,588,391,0,2545.596,120.094,195.5,64.818,12672,0,0,0.432,1551.783
2025-02-28 05:19:23,600,478,0,2781.542,91.607,239,64.914,15514.5,0,0,0.63,1780.642
2025-02-28 05:19:25,610,445,0,2499.191,110.764,222.5,64.969,14455.5,0,0,0.454,1506.665
2025-02-28 05:19:27,618,483,0,2630.135,65.312,241.5,64.961,15688,0,0,0.565,1631.917
2025-02-28 05:19:29,628,458,0,2560.362,104.832,229,64.998,14884.5,0,0,0.463,1559.502
2025-02-28 05:19:31,638,481,0,2689.817,70.868,240.5,65.06,15647,0,0,0.545,1687.503
2025-02-28 05:19:33,649,438,0,2728.82,105.825,219,64.932,14220,0,0,0.498,1725.324
2025-02-28 05:19:35,658,493,0,2840.98,82.89,246.5,64.921,16003,0,0,0.521,1842.201
2025-02-28 05:19:37,670,454,0,2721.628,78.342,227,64.932,14739.5,0,0,0.427,1720.932
2025-02-28 05:19:39,677,460,0,2832.841,81.284,230,64.939,14936,0,0,0.441,1831.665
2025-02-28 05:19:41,688,462,0,2891.82,73.161,231,64.881,14987.5,0,0,0.461,1886.11
2025-02-28 05:19:43,699,451,0,2995.353,92.711,225.5,64.951,14646.5,0,0,0.528,1994.8
2025-02-28 05:19:45,709,409,0,3165.951,125.603,204.5,64.861,13264,0,0,0.45,2166.086
2025-02-28 05:19:47,719,454,0,3218.901,90.38,227,64.888,14729.5,0,0,1.291,2218.498
2025-02-28 05:19:49,728,469,0,3134.356,85.915,234.5,64.902,15219.5,0,0,0.567,2127.804
2025-02-28 05:19:51,740,471,0,3071.987,76.15,235.5,64.977,15302,0,0,0.471,2068.488
2025-02-28 05:19:53,749,457,0,3131.974,115.662,228.5,64.875,14824,0,0,0.444,2130.462
2025-02-28 05:19:55,759,479,0,3181.946,72.098,239.5,64.937,15552.5,0,0,0.491,2179.708
2025-02-28 05:19:57,770,441,0,3197.102,88.443,220.5,64.866,14303,0,0,0.415,2199.726
2025-02-28 05:19:59,780,458,0,3329.967,86.754,229,64.814,14842.5,0,0,0.476,2323.076
2025-02-28 05:20:01,788,432,0,3517.634,140.523,216,64.896,14017.5,0,0,0.481,2519.343
2025-02-28 05:20:03,798,417,0,3571.48,128.229,208.5,64.882,13528,0,0,0.556,2566.002
2025-02-28 05:20:05,809,477,0,3516.874,101.098,238.5,64.933,15486.5,0,0,0.426,2510.302
2025-02-28 05:20:07,818,472,0,3412.614,127.178,236,64.839,15302,0,0,0.403,2410.837
2025-02-28 05:20:09,826,453,0,3448.411,84.378,226.5,64.896,14699,0,0,0.464,2447.126
2025-02-28 05:20:11,840,442,0,3558.133,73.962,221,64.914,14346,0,0,0.466,2556.394
2025-02-28 05:20:13,851,453,0,3694.883,84.691,226.5,64.868,14692.5,0,0,0.592,2699.232
2025-02-28 05:20:15,858,417,0,3761.674,80.274,208.5,64.871,13525.5,0,0,0.499,2759.019
2025-02-28 05:20:17,868,444,0,4009.221,85.89,222,64.858,14398.5,0,0,0.468,3005.581
