DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 05:58:27,13,11,0,1090.909,119.622,5.5,64.455,354.5,0,0,7.455,79.818
2025-02-28 05:58:29,22,30,0,1192.1,150.71,15,63.833,957.5,0,0,2.967,171
2025-02-28 05:58:31,32,24,0,1808.875,198.015,12,63.042,756.5,0,0,1.208,780.542
2025-02-28 05:58:33,45,28,0,2403.75,366.042,14,62.357,873,0,0,0.929,1413.75
2025-02-28 05:58:35,52,25,0,2767.32,351.83,12.5,62.76,784.5,0,0,1.2,1762.52
2025-02-28 05:58:37,63,28,0,3182,586.436,14,63.036,882.5,0,0,0.786,2187.786
2025-02-28 05:58:39,71,27,0,3638.667,985.075,13.5,63,850.5,0,0,1,2609.852
2025-02-28 05:58:41,81,27,0,4105.963,1410.661,13.5,63.037,851,0,0,0.815,3127.296
2025-02-28 05:58:43,93,24,0,5033.875,1632.991,12,62.625,751.5,0,0,1,4051.792
2025-02-28 05:58:45,103,25,0,5499.6,1847.781,12.5,62.64,783,0,0,0.76,4502.12
2025-02-28 05:58:47,113,30,0,5385.767,2383.133,15,62.733,941,0,0,0.9,4389.4
2025-02-28 05:58:49,124,24,0,5766.708,2884.354,12,63.042,756.5,0,0,0.75,4750.792
2025-02-28 05:58:51,134,26,0,6256.962,3374.752,13,63.077,820,0,0,0.885,5227.154
2025-02-28 05:58:53,142,25,0,9273.36,150.033,12.5,63.32,791.5,0,0,0.72,8262.44
2025-02-28 05:58:55,152,26,0,9416.923,226.257,13,62.962,818.5,0,0,0.923,8424.769
2025-02-28 05:58:57,163,26,0,9778.923,194.015,13,63.269,822.5,0,0,0.923,8779.577
2025-02-28 05:58:59,173,29,0,8321.276,3057.966,14.5,63.103,915,0,0,0.759,7317.241
2025-02-28 05:59:01,185,24,0,7991.167,4033.444,12,63.125,757.5,0,0,0.917,6989.875
2025-02-28 05:59:03,194,26,0,9143.115,4072.911,13,63.154,821,0,0,0.577,8144.346
2025-02-28 05:59:05,203,28,0,9296.286,4783.772,14,63.071,883,0,0,0.786,8293.143
2025-02-28 05:59:07,215,28,0,10278,4927.279,14,63,882,0,0,0.607,9240.5
2025-02-28 05:59:09,223,27,0,10938.889,5402.044,13.5,63.37,855.5,0,0,0.815,9924.259
2025-02-28 05:59:11,235,20,0,9691.85,6349.228,10,62.85,628.5,0,0,0.8,8677.15
