TIMESTAMP,CONTAINER,NAME,ID,CPU_PERC,MEM_USAGE,MEM_PERC,NET_IO,BLOCK_IO,PIDS
1740721333,c31c4d3a414a,reverse-proxy-api-1,c31c4d3a414a,0.19%,76.92MiB / 100MiB,76.92%,5.5MB / 3.84MB,0B / 0B,22
1740721333,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,789.79%,1.112GiB / 3.785GiB,29.37%,155MB / 102MB,0B / 0B,272
1740721333,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.16%,78.27MiB / 3.785GiB,2.02%,151MB / 174MB,0B / 0B,35
1740721333,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.57%,535.6MiB / 3.785GiB,13.82%,31.8MB / 91.7MB,0B / 0B,235
1740721347,c31c4d3a414a,reverse-proxy-api-1,c31c4d3a414a,15.32%,75.89MiB / 100MiB,75.89%,5.5MB / 3.84MB,0B / 0B,14
1740721347,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,421.24%,1.868GiB / 3.785GiB,49.36%,155MB / 102MB,0B / 0B,1828
1740721347,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,7.38%,77.05MiB / 3.785GiB,1.99%,151MB / 174MB,0B / 0B,35
1740721347,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,11.92%,536.2MiB / 3.785GiB,13.83%,31.9MB / 91.8MB,0B / 0B,235
1740721360,c31c4d3a414a,reverse-proxy-api-1,c31c4d3a414a,36.04%,79.01MiB / 100MiB,79.01%,5.68MB / 3.95MB,0B / 0B,16
1740721360,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,59.96%,1.875GiB / 3.785GiB,49.53%,155MB / 102MB,0B / 0B,1828
1740721360,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,4.28%,77.53MiB / 3.785GiB,2.00%,151MB / 174MB,0B / 0B,35
1740721360,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.37%,537.4MiB / 3.785GiB,13.86%,32MB / 91.8MB,0B / 0B,238
1740721373,c31c4d3a414a,reverse-proxy-api-1,c31c4d3a414a,70.31%,78.75MiB / 100MiB,78.75%,6.2MB / 4.29MB,0B / 0B,20
1740721373,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,58.46%,1.887GiB / 3.785GiB,49.84%,155MB / 103MB,0B / 0B,1828
1740721373,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,9.07%,79.07MiB / 3.785GiB,2.04%,152MB / 176MB,0B / 0B,35
1740721373,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,40.80%,538.4MiB / 3.785GiB,13.89%,32.2MB / 91.9MB,0B / 0B,238
1740721385,c31c4d3a414a,reverse-proxy-api-1,c31c4d3a414a,123.19%,80.22MiB / 100MiB,80.22%,7.12MB / 4.91MB,0B / 0B,31
1740721385,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,136.56%,1.918GiB / 3.785GiB,50.66%,156MB / 104MB,0B / 0B,1828
1740721385,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,12.60%,80.8MiB / 3.785GiB,2.08%,154MB / 177MB,0B / 0B,35
1740721385,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.91%,539.1MiB / 3.785GiB,13.91%,32.4MB / 91.9MB,0B / 0B,238
1740721398,c31c4d3a414a,reverse-proxy-api-1,c31c4d3a414a,30.83%,99.69MiB / 100MiB,99.69%,8.18MB / 5.57MB,0B / 0B,53
1740721398,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,4.25%,1.912GiB / 3.785GiB,50.51%,157MB / 105MB,0B / 0B,1828
1740721398,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.31%,81.11MiB / 3.785GiB,2.09%,156MB / 179MB,0B / 0B,35
1740721398,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.32%,540.1MiB / 3.785GiB,13.93%,32.6MB / 92MB,0B / 0B,238
1740721411,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,20.60%,1.914GiB / 3.785GiB,50.56%,158MB / 105MB,0B / 0B,1828
1740721411,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,2.40%,123MiB / 3.785GiB,3.17%,156MB / 180MB,0B / 0B,43
1740721411,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.70%,540.8MiB / 3.785GiB,13.95%,32.8MB / 92MB,0B / 0B,238
1740721424,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,64.86%,1.923GiB / 3.785GiB,50.80%,158MB / 106MB,0B / 0B,1828
1740721424,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,5.50%,123.1MiB / 3.785GiB,3.18%,157MB / 181MB,0B / 0B,43
1740721424,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.44%,541.1MiB / 3.785GiB,13.96%,33MB / 92.1MB,0B / 0B,232
1740721436,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,57.36%,1.932GiB / 3.785GiB,51.04%,159MB / 107MB,0B / 0B,1828
1740721436,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,8.02%,122.9MiB / 3.785GiB,3.17%,158MB / 182MB,0B / 0B,43
1740721436,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,3.68%,541.7MiB / 3.785GiB,13.98%,33.2MB / 92.1MB,0B / 0B,232
1740721449,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,58.57%,1.927GiB / 3.785GiB,50.92%,161MB / 109MB,0B / 0B,1828
1740721449,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,11.13%,122.9MiB / 3.785GiB,3.17%,159MB / 183MB,0B / 0B,43
1740721449,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.28%,542.5MiB / 3.785GiB,14.00%,33.4MB / 92.2MB,0B / 0B,232
1740721462,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,1.86%,1.787GiB / 3.785GiB,47.21%,162MB / 110MB,0B / 0B,605
1740721462,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.20%,122.8MiB / 3.785GiB,3.17%,160MB / 185MB,0B / 0B,43
1740721462,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.59%,543.4MiB / 3.785GiB,14.02%,33.6MB / 92.2MB,0B / 0B,232
1740721474,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.17%,121.3MiB / 3.785GiB,3.13%,162MB / 110MB,0B / 0B,44
1740721474,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.31%,75.21MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721474,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,48.63%,543.4MiB / 3.785GiB,14.02%,33.6MB / 92.3MB,0B / 0B,223
1740721487,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.15%,121.3MiB / 3.785GiB,3.13%,162MB / 110MB,0B / 0B,44
1740721487,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.21%,75.12MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721487,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,2.41%,544MiB / 3.785GiB,14.03%,33.6MB / 92.3MB,0B / 0B,223
1740721500,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.22%,121.5MiB / 3.785GiB,3.13%,162MB / 110MB,0B / 0B,44
1740721500,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.18%,75.14MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721500,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.12%,545MiB / 3.785GiB,14.06%,33.6MB / 92.3MB,0B / 0B,223
1740721512,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.16%,121.4MiB / 3.785GiB,3.13%,162MB / 110MB,0B / 0B,44
1740721512,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.35%,75.14MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721512,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.32%,546.1MiB / 3.785GiB,14.09%,33.6MB / 92.3MB,0B / 0B,224
1740721525,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.16%,120.2MiB / 3.785GiB,3.10%,162MB / 110MB,0B / 0B,34
1740721525,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.19%,75.16MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721525,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,132.36%,536.7MiB / 3.785GiB,13.85%,33.6MB / 92.3MB,0B / 0B,223
1740721538,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.13%,120.3MiB / 3.785GiB,3.10%,162MB / 110MB,0B / 0B,34
1740721538,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.18%,75.16MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721538,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.44%,537MiB / 3.785GiB,13.85%,33.6MB / 92.3MB,0B / 0B,223
1740721550,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.14%,120.3MiB / 3.785GiB,3.10%,162MB / 110MB,0B / 0B,34
1740721550,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.15%,75.18MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721550,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.00%,537.8MiB / 3.785GiB,13.87%,33.7MB / 92.3MB,0B / 0B,223
1740721563,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.15%,120.3MiB / 3.785GiB,3.10%,162MB / 110MB,0B / 0B,34
1740721563,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.18%,75.18MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721563,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.24%,538.9MiB / 3.785GiB,13.90%,33.7MB / 92.3MB,0B / 0B,225
1740721576,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.15%,120.3MiB / 3.785GiB,3.10%,162MB / 110MB,0B / 0B,34
1740721576,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.18%,75.21MiB / 3.785GiB,1.94%,160MB / 185MB,0B / 0B,35
1740721576,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,0.90%,539.4MiB / 3.785GiB,13.92%,33.7MB / 92.3MB,0B / 0B,225
1740721589,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.29%,120.3MiB / 3.785GiB,3.10%,162MB / 110MB,0B / 0B,34
1740721589,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.21%,73MiB / 3.785GiB,1.88%,160MB / 185MB,0B / 0B,35
1740721589,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.27%,540.3MiB / 3.785GiB,13.94%,33.7MB / 92.3MB,0B / 0B,225
1740721601,accbbdecc98f,reverse-proxy-agent-1,accbbdecc98f,0.15%,120.4MiB / 3.785GiB,3.11%,162MB / 110MB,0B / 0B,34
1740721601,b743b0322250,reverse-proxy-nginx-proxy-1,b743b0322250,0.19%,72.08MiB / 3.785GiB,1.86%,160MB / 185MB,0B / 0B,35
1740721601,1de39eec77bc,reverse-proxy-controller-1,1de39eec77bc,1.05%,541MiB / 3.785GiB,13.96%,33.7MB / 92.3MB,0B / 0B,225
